component,explained_variance_ratio,cumulative_explained_variance
1,0.3698060640506265,0.3698060640506265
2,0.15244540839064116,0.5222514724412677
3,0.09831050123036159,0.6205619736716292
4,0.08896448210038996,0.7095264557720192
5,0.07209527500051556,0.7816217307725348
6,0.05343843842816888,0.8350601692007037
7,0.03322119191550696,0.8682813611162107
8,0.031194014150845332,0.899475375267056
9,0.026341927181419946,0.9258173024484759
10,0.022001816649096267,0.9478191190975722
11,0.016505742234552073,0.9643248613321243
12,0.010803564288163805,0.975128425620288
13,0.010617952267201455,0.9857463778874894
14,0.007410661944668476,0.9931570398321579
15,0.004269124681162793,0.9974261645133207
16,0.0025738354866792932,1.0
